daal;dael
wijck;wijk
bosch;bos
't ;het 
's-;s
 en ; &  
 en ;&
st.-;sint-
st. ;sint 
1e;eerste
2e;tweede
3e;derde
4de;vierde
wijck;wijk
wijk;wijck
