Variant;Woonplaats
Den Haag;'s-Gravenhage
Amsterdam Zuidoost;Amsterdam
Zuidoost;Amsterdam
Den Bosch;'s-Hertogenbosch
A'dam;Amsterdam
R'dam;Rotterdam
teschelling;Terschelling
